occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Sylvia rueppelli","Sylvia rueppelli Temminck, 1823","2492947","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia ruppeli","Sylvia rueppelli","Temminck, 1823","2492947","6100917"
,"Sylvia sarda","Sylvia sarda Temminck, 1820","2492965","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia sarda","Sylvia sarda","Temminck, 1820","2492965",
,"Sylvia undata","Sylvia undata (Boddaert, 1783)","2492949","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sylviidae","Sylvia","Sylvia undata","Sylvia undata","(Boddaert, 1783) ","2492949",
,"Tadorna ferruginea","Tadorna ferruginea (Pallas, 1764)","2498015","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Tadorna","Tadorna ferruginea","Tadorna ferruginea","(Pallas, 1764) ","2498015",
,"Tetrao tetrix tetrix","Tetrao tetrix tetrix","7340147","EXACT","98","SYNONYM","SUBSPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Lyrurus","Lyrurus tetrix","Tetrao tetrix tetrix",,"7340147","7191070"
,"Tetrao urogallus","Tetrao urogallus Linnaeus, 1758","2473577","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Galliformes","Phasianidae","Tetrao","Tetrao urogallus","Tetrao urogallus","Linnaeus, 1758","2473577",
,"Tetrax tetrax","Tetrax tetrax (Linnaeus, 1758)","5228228","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Otidiformes","Otididae","Tetrax","Tetrax tetrax","Tetrax tetrax","(Linnaeus, 1758) ","5228228",
,"Tringa glareola","Tringa glareola Linnaeus, 1758","2481713","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Tringa","Tringa glareola","Tringa glareola","Linnaeus, 1758","2481713",
,"Troglodytes troglodytes fridariensis","Troglodytes troglodytes fridariensis Williamson, 1951","5739334","EXACT","98","ACCEPTED","SUBSPECIES","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Troglodytes","Troglodytes troglodytes","Troglodytes troglodytes fridariensis","Williamson, 1951","5739334",
,"Turnix sylvatica","Turnix sylvaticus (Desfontaines, 1789)","2475001","FUZZY","96","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Turnicidae","Turnix","Turnix sylvaticus","Turnix sylvaticus","(Desfontaines, 1789) ","2475001",
,"Uria aalge ibericus","Uria aalge ibericus Bernis, 1948","6486613","EXACT","98","SYNONYM","SUBSPECIES","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Uria","Uria aalge","Uria aalge ibericus","Bernis, 1948","6486613","6065721"
,"Xenus cinereus (Tringa cinerea)","Xenus cinereus (Güldenstädt, 1775)","2481703","HIGHERRANK","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Xenus","Xenus cinereus","Xenus cinereus","(Güldenstädt, 1775) ","2481703",
