occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Austropotamobius pallipes","Austropotamobius pallipes (Lereboullet, 1858)","4312658","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Astacidae","Austropotamobius","Austropotamobius pallipes","Austropotamobius pallipes","(Lereboullet, 1858) ","4312658",
,"Austropotamobius torrentium","Austropotamobius torrentium (von Paula Schrank, 1803)","4417555","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Astacidae","Austropotamobius","Austropotamobius torrentium","Austropotamobius torrentium","(von Paula Schrank, 1803) ","4417555",
,"Barbastella barbastellus","Barbastella barbastellus (Schreber, 1774)","2432582","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Barbastella","Barbastella barbastellus","Barbastella barbastellus","(Schreber, 1774) ","2432582",
,"Barbus barbus","Barbus barbus (Linnaeus, 1758)","5739539","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cypriniformes","Cyprinidae","Barbus","Barbus barbus","Barbus barbus","(Linnaeus, 1758) ","5739539",
,"Barbus carpathicus","Barbus carpathicus Kotlík, Tsigenopoulos, Ráb & Berrebi, 2002","5739554","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cypriniformes","Cyprinidae","Barbus","Barbus carpathicus","Barbus carpathicus","Kotlík, Tsigenopoulos, Ráb & Berrebi, 2002","5739554",
,"Bolbelasmus unicornis","Bolbelasmus unicornis (Schrank, 1789)","1085533","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Geotrupidae","Bolbelasmus","Bolbelasmus unicornis","Bolbelasmus unicornis","(Schrank, 1789) ","1085533",
,"Bombina bombina","Bombina bombina (Linnaeus, 1761)","2423443","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","Bombina bombina","Bombina bombina","(Linnaeus, 1761) ","2423443",
,"Bombina variegata","Bombina variegata (Linnaeus, 1758)","2423435","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Anura","Bombinatoridae","Bombina","Bombina variegata","Bombina variegata","(Linnaeus, 1758) ","2423435",
,"Botrychium simplex","Botrychium simplex E.Hitchc.","2650180","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Polypodiopsida","Ophioglossales","Ophioglossaceae","Botrychium","Botrychium simplex","Botrychium simplex","E.Hitchc.","2650180",
,"Bufotes viridis","Bufotes viridis (Laurenti, 1768)","9529916","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Anura","Bufonidae","Bufotes","Bufotes viridis","Bufotes viridis","(Laurenti, 1768) ","9529916",
,"Buprestis splendens","Buprestis splendens Fabricius, 1775","5744642","EXACT","97","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Buprestis","Buprestis splendens","Buprestis splendens","Fabricius, 1775","5744642",
,"Buxbaumia viridis","Buxbaumia viridis (Moug. ex DC.) Brid. ex Moug. & Nestl.","2682851","EXACT","97","ACCEPTED","SPECIES","Plantae","Bryophyta","Bryopsida","Buxbaumiales","Buxbaumiaceae","Buxbaumia","Buxbaumia viridis","Buxbaumia viridis","(Moug. ex DC.) Brid. ex Moug. & Nestl.","2682851",
,"Campanula zoysii","Campanula zoysii Wulfen","5414059","EXACT","98","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","Favratia","Favratia zoysii","Campanula zoysii","Wulfen","5414059","3168046"
,"Canis aureus","Canis aureus Linnaeus, 1758","5219219","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis aureus","Canis aureus","Linnaeus, 1758","5219219",
,"Canis lupus","Canis lupus Linnaeus, 1758","5219173","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus","Canis lupus","Linnaeus, 1758","5219173",
,"Capra ibex","Capra ibex Linnaeus, 1758","2441055","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra ibex","Capra ibex","Linnaeus, 1758","2441055",
,"Carabus (variolosus) nodulosus","Carabus Linnaeus, 1758","1036775","EXACT","94","ACCEPTED","GENUS","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabus",,"Carabus","Linnaeus, 1758","1036775",
,"Carabus hungaricus","Carabus hungaricus Fabricius, 1792","4471132","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabus","Carabus hungaricus","Carabus hungaricus","Fabricius, 1792","4471132",
,"Carabus menetriesi pacholei","Carabus menetriesi pacholei Sokolar, 1911","4470447","EXACT","98","ACCEPTED","SUBSPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Carabus","Carabus menetriesi","Carabus menetriesi pacholei","Sokolar, 1911","4470447",
,"Castor fiber","Castor fiber Linnaeus, 1758","4409131","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Castoridae","Castor","Castor fiber","Castor fiber","Linnaeus, 1758","4409131",
,"Cerambyx cerdo","Cerambyx cerdo Linnaeus, 1758","5820507","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Cerambyx","Cerambyx cerdo","Cerambyx cerdo","Linnaeus, 1758","5820507",
,"Chondrosoma fiduciarium","Chondrosoma fiduciaria Anker, 1854","1979513","FUZZY","96","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Chondrosoma","Chondrosoma fiduciaria","Chondrosoma fiduciaria","Anker, 1854","1979513",
,"Cirsium brachycephalum","Cirsium brachycephalum Jur.","3113465","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Cirsium brachycephalum","Cirsium brachycephalum","Jur.","3113465",
,"Cladonia (Cladina) subsp.","Cladina (Nyl.) Nyl., 1866","7246637","EXACT","94","DOUBTFUL","GENUS","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladina",,"Cladina","(Nyl.) Nyl., 1866","7246637",
,"Cobitis elongatoides","Cobitis elongatoides Băcescu & Mayer, 1969","2368212","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cypriniformes","Cobitidae","Cobitis","Cobitis elongatoides","Cobitis elongatoides","Băcescu & Mayer, 1969","2368212",
,"Cobitis taenia","Cobitis taenia Linnaeus, 1758","2368185","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Cypriniformes","Cobitidae","Cobitis","Cobitis taenia","Cobitis taenia","Linnaeus, 1758","2368185",
,"Coenagrion hylas","Coenagrion hylas (Trybom, 1889)","1421988","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Coenagrion","Coenagrion hylas","Coenagrion hylas","(Trybom, 1889) ","1421988",
,"Coenagrion mercuriale","Coenagrion mercuriale (Charpentier, 1840)","1422012","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Coenagrion","Coenagrion mercuriale","Coenagrion mercuriale","(Charpentier, 1840) ","1422012",
,"Coenagrion ornatum","Coenagrion ornatum (Selys, 1850)","1422002","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Coenagrion","Coenagrion ornatum","Coenagrion ornatum","(Selys, 1850) ","1422002",
,"Coenonympha hero","Coenonympha hero (Linnaeus, 1761)","1911168","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Coenonympha","Coenonympha hero","Coenonympha hero","(Linnaeus, 1761) ","1911168",
,"Coenonympha oedippus","Coenonympha oedippus Fabricius, 1787","1911093","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Coenonympha","Coenonympha oedippus","Coenonympha oedippus","Fabricius, 1787","1911093",
,"Coleanthus subtilis","Coleanthus subtilis (Tratt.) Seidel ex Roem. & Schult.","2706035","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Coleanthus","Coleanthus subtilis","Coleanthus subtilis","(Tratt.) Seidel ex Roem. & Schult.","2706035",
,"Colias myrmidone","Colias myrmidone (Esper, 1781)","5137708","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias myrmidone","Colias myrmidone","(Esper, 1781) ","5137708",
,"Cordulegaster heros","Cordulegaster heros Theischinger, 1979","1421199","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","Cordulegaster","Cordulegaster heros","Cordulegaster heros","Theischinger, 1979","1421199",
,"Coregonus lavaretus Group","Coregonus lavaretus (Linnaeus, 1758)","2351211","EXACT","96","ACCEPTED","SPECIES","Animalia","Chordata",,"Salmoniformes","Salmonidae","Coregonus","Coregonus lavaretus","Coregonus lavaretus","(Linnaeus, 1758) ","2351211",
,"Coronella austriaca",,,"NONE","100",,,,,,,,,,,,,
,"Cottus gobio","Cottus gobio Linnaeus, 1758","7807208","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Scorpaeniformes","Cottidae","Cottus","Cottus gobio","Cottus gobio","Linnaeus, 1758","7807208",
,"Crambe tataria","Crambe tataria Sebeók","5373485","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Crambe","Crambe tataria","Crambe tataria","Sebeók","5373485",
,"Cricetus cricetus","Cricetus cricetus (Linnaeus, 1758)","2438704","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Cricetus","Cricetus cricetus","Cricetus cricetus","(Linnaeus, 1758) ","2438704",
,"Cucujus cinnaberinus","Cucujus cinnaberinus (Scopoli, 1763)","4451511","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Cucujidae","Cucujus","Cucujus cinnaberinus","Cucujus cinnaberinus","(Scopoli, 1763) ","4451511",
,"Cypripedium calceolus","Cypripedium calceolus L.","2820517","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Cypripedium","Cypripedium calceolus","Cypripedium calceolus","L.","2820517",
,"Dianthus lumnitzeri","Dianthus lumnitzeri Wiesb.","7267455","EXACT","98","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Dianthus","Dianthus praecox","Dianthus lumnitzeri","Wiesb.","7267455","7489951"
,"Dicranum viride","Dicranum viride (Sull. & Lesq.) Lindb.","2675421","EXACT","99","ACCEPTED","SPECIES","Plantae","Bryophyta","Bryopsida","Dicranales","Dicranaceae","Dicranum","Dicranum viride","Dicranum viride","(Sull. & Lesq.) Lindb.","2675421",
,"Distichophyllum carinatum","Distichophyllum carinatum Dixon & W.E.Nicholson","5280094","EXACT","98","SYNONYM","SPECIES","Plantae","Bryophyta","Bryopsida","Hookeriales","Daltoniaceae","Daltonia","Daltonia carinata","Distichophyllum carinatum","Dixon & W.E.Nicholson","5280094","12182921"
,"Dracocephalum austriacum","Dracocephalum austriacum L.","3903269","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Dracocephalum","Dracocephalum austriacum","Dracocephalum austriacum","L.","3903269",
,"Dryomys nitedula","Dryomys nitedula (Pallas, 1778)","2439688","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Gliridae","Dryomys","Dryomys nitedula","Dryomys nitedula","(Pallas, 1778) ","2439688",
,"Eleocharis carniolica","Eleocharis carniolica W.D.J.Koch","2717871","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Eleocharis","Eleocharis carniolica","Eleocharis carniolica","W.D.J.Koch","2717871",
,"Emys orbicularis","Emys orbicularis (Linnaeus, 1758)","8909809","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Testudines",,"Emydidae","Emys","Emys orbicularis","Emys orbicularis","(Linnaeus, 1758) ","8909809",
,"Epidalea calamita","Epidalea calamita (Laurenti, 1768)","2422507","EXACT","98","ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Anura","Bufonidae","Epidalea","Epidalea calamita","Epidalea calamita","(Laurenti, 1768) ","2422507",
,"Eptesicus nilssonii","Eptesicus nilssonii (Keyserling & Blasius, 1839)","7261816","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Eptesicus","Eptesicus nilssonii","Eptesicus nilssonii","(Keyserling & Blasius, 1839) ","7261816",
,"Eptesicus serotinus","Eptesicus serotinus (Schreber, 1774)","2432359","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Eptesicus","Eptesicus serotinus","Eptesicus serotinus","(Schreber, 1774) ","2432359",
,"Erebia calcaria","Erebia calcarius Lorkovic, 1953","5135314","FUZZY","96","SYNONYM","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Erebia","Erebia tyndarus","Erebia calcarius","Lorkovic, 1953","5135314","6229176"
,"Eriogaster catax","Eriogaster catax (Linnaeus, 1767)","4525268","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Eriogaster","Eriogaster catax","Eriogaster catax","(Linnaeus, 1767) ","4525268",
,"Eryngium alpinum","Eryngium alpinum L.","3633778","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Eryngium","Eryngium alpinum","Eryngium alpinum","L.","3633778",
,"Eudontomyzon mariae","Eudontomyzon mariae (Berg, 1931)","2421315","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Petromyzonti","Petromyzontiformes","Petromyzontidae","Eudontomyzon","Eudontomyzon mariae","Eudontomyzon mariae","(Berg, 1931) ","2421315",
,"Eudontomyzon vladykovi","Eudontomyzon vladykovi Oliva & Zanandrea, 1959","2421304","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Petromyzonti","Petromyzontiformes","Petromyzontidae","Eudontomyzon","Eudontomyzon vladykovi","Eudontomyzon vladykovi","Oliva & Zanandrea, 1959","2421304",
,"Euphydryas aurinia","Euphydryas aurinia (Rottemburg, 1775)","4535809","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Euphydryas","Euphydryas aurinia","Euphydryas aurinia","(Rottemburg, 1775) ","4535809",
,"Euphydryas maturna","Euphydryas maturna (Linnaeus, 1758)","4535817","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Euphydryas","Euphydryas maturna","Euphydryas maturna","(Linnaeus, 1758) ","4535817",
,"Euplagia quadripunctaria","Euplagia quadripunctaria (Poda, 1761)","4532532","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Euplagia","Euplagia quadripunctaria","Euplagia quadripunctaria","(Poda, 1761) ","4532532",
,"Galanthus nivalis","Galanthus nivalis L.","2855356","EXACT","98","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Galanthus","Galanthus nivalis","Galanthus nivalis","L.","2855356",
,"Gentiana lutea","Gentiana lutea L.","3170040","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","Gentiana","Gentiana lutea","Gentiana lutea","L.","3170040",
,"Gentianella bohemica","Gentianella bohemica Skalický","3844100","EXACT","98","SYNONYM","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Gentianaceae","Gentianella","Gentianella praecox","Gentianella bohemica","Skalický","3844100","3840751"
,"Gladiolus palustris","Gladiolus palustris Gaudin","2750279","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","Gladiolus","Gladiolus palustris","Gladiolus palustris","Gaudin","2750279",
,"Graphoderus bilineatus","Graphoderus bilineatus (De Geer, 1774)","4470279","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Dytiscidae","Graphoderus","Graphoderus bilineatus","Graphoderus bilineatus","(De Geer, 1774) ","4470279",
,"Gymnocephalus baloni","Gymnocephalus baloni Holcík & Hensel, 1974","2382142","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Perciformes","Percidae","Gymnocephalus","Gymnocephalus baloni","Gymnocephalus baloni","Holcík & Hensel, 1974","2382142",
,"Gymnocephalus schraetzer","Gymnocephalus schraetzer (Linnaeus, 1758)","5209583","EXACT","98","SYNONYM","SPECIES","Animalia","Chordata",,"Perciformes","Percidae","Gymnocephalus","Gymnocephalus schraetser","Gymnocephalus schraetzer","(Linnaeus, 1758) ","5209583","2382143"
,"Hamatocaulis vernicosus","Hamatocaulis vernicosus (Mitt.) Hedenäs","2681714","EXACT","99","ACCEPTED","SPECIES","Plantae","Bryophyta","Bryopsida","Hypnales","Scorpidiaceae","Hamatocaulis","Hamatocaulis vernicosus","Hamatocaulis vernicosus","(Mitt.) Hedenäs","2681714",
,"Helicopsis striata austriaca","Helicopsis striata austriaca E.Gittenberger, 1969","9424015","EXACT","98","SYNONYM","SUBSPECIES","Animalia","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Helicopsis","Helicopsis austriaca","Helicopsis striata austriaca","E.Gittenberger, 1969","9424015","10152438"
,"Helix pomatia","Helix pomatia Linnaeus, 1758","2294287","EXACT","99","ACCEPTED","SPECIES","Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","Helix","Helix pomatia","Helix pomatia","Linnaeus, 1758","2294287",
,"Helosciadium repens","Helosciadium repens (Jacq.) W.D.J.Koch","7456091","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Helosciadium","Helosciadium repens","Helosciadium repens","(Jacq.) W.D.J.Koch","7456091",
,"Himantoglossum adriaticum","Himantoglossum adriaticum H.Baumann","5324944","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Himantoglossum","Himantoglossum adriaticum","Himantoglossum adriaticum","H.Baumann","5324944",
,"Hirudo medicinalis","Hirudo medicinalis Linnaeus, 1758","2308887","EXACT","99","ACCEPTED","SPECIES","Animalia","Annelida","Clitellata","Arhynchobdellida","Hirudinidae","Hirudo","Hirudo medicinalis","Hirudo medicinalis","Linnaeus, 1758","2308887",
,"Hucho hucho","Hucho hucho (Linnaeus, 1758)","2351413","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata",,"Salmoniformes","Salmonidae","Hucho","Hucho hucho","Hucho hucho","(Linnaeus, 1758) ","2351413",
,"Hyla arborea","Hyla arborea (Linnaeus, 1758)","2427573","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Amphibia","Anura","Hylidae","Hyla","Hyla arborea","Hyla arborea","(Linnaeus, 1758) ","2427573",
,"Hypsugo savii","Hypsugo savii (Bonaparte, 1837)","7261861","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Hypsugo","Hypsugo savii","Hypsugo savii","(Bonaparte, 1837) ","7261861",
,"Iberolacerta horvathi","Iberolacerta horvathi (Méhely, 1904)","2468506","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Squamata",,"Lacertidae","Iberolacerta","Iberolacerta horvathi","Iberolacerta horvathi","(Méhely, 1904) ","2468506",
,"Iris humilis subsp. arenaria","Iris humilis subsp. arenaria (Waldst. & Kit.) Á.Löve & D.Löve","5298817","EXACT","98","SYNONYM","SUBSPECIES","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","Iris","Iris arenaria","Iris humilis arenaria","(Waldst. & Kit.) Á.Löve & D.Löve","5298817","5298814"
,"Isophya costata","Isophya costata Brunner von Wattenwyl, 1878","1684375","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","Isophya","Isophya costata","Isophya costata","Brunner von Wattenwyl, 1878","1684375",
,"Klasea lycopifolia","Klasea lycopifolia (Vill.) Á.Löve & D.Löve","3091224","EXACT","97","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Klasea","Klasea lycopifolia","Klasea lycopifolia","(Vill.) Á.Löve & D.Löve","3091224",
,"Lacerta agilis","Lacerta agilis Linnaeus, 1758","6159223","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Squamata",,"Lacertidae","Lacerta","Lacerta agilis","Lacerta agilis","Linnaeus, 1758","6159223",
,"Lacerta viridis","Lacerta viridis (Laurenti, 1768)","6159273","EXACT","97","ACCEPTED","SPECIES","Animalia","Chordata","Squamata",,"Lacertidae","Lacerta","Lacerta viridis","Lacerta viridis","(Laurenti, 1768) ","6159273",
,"Lampetra planeri","Lampetra planeri (Bloch, 1784)","2421402","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Petromyzonti","Petromyzontiformes","Petromyzontidae","Lampetra","Lampetra planeri","Lampetra planeri","(Bloch, 1784) ","2421402",
,"Leptidea morsei","Leptidea morsei Fenton, 1881","5137908","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Leptidea","Leptidea morsei","Leptidea morsei","Fenton, 1881","5137908",
,"Lepus timidus","Lepus timidus Linnaeus, 1758","2436756","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus timidus","Lepus timidus","Linnaeus, 1758","2436756",
,"Leucobryum glaucum","Leucobryum glaucum (Hedw.) Ångstr.","2675719","EXACT","97","ACCEPTED","SPECIES","Plantae","Bryophyta","Bryopsida","Dicranales","Leucobryaceae","Leucobryum","Leucobryum glaucum","Leucobryum glaucum","(Hedw.) Ångstr.","2675719",
,"Leucorrhinia albifrons","Leucorrhinia albifrons (Burmeister, 1839)","1429199","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Leucorrhinia","Leucorrhinia albifrons","Leucorrhinia albifrons","(Burmeister, 1839) ","1429199",
,"Leucorrhinia caudalis","Leucorrhinia caudalis (Charpentier, 1840)","1429178","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Leucorrhinia","Leucorrhinia caudalis","Leucorrhinia caudalis","(Charpentier, 1840) ","1429178",
,"Leucorrhinia pectoralis","Leucorrhinia pectoralis (Charpentier, 1825)","1429194","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Leucorrhinia","Leucorrhinia pectoralis","Leucorrhinia pectoralis","(Charpentier, 1825) ","1429194",
,"Lignyoptera fumidaria","Lignyoptera fumidaria (Hübner, 1825)","1963232","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Lignyoptera","Lignyoptera fumidaria","Lignyoptera fumidaria","(Hübner, 1825) ","1963232",
,"Ligularia sibirica","Ligularia sibirica (L.) Cass.","6445722","EXACT","99","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ligularia","Ligularia sibirica","Ligularia sibirica","(L.) Cass.","6445722",
,"Limoniscus violaceus","Limoniscus violaceus (P.W.J.Müller, 1821)","4428477","EXACT","99","ACCEPTED","SPECIES","Animalia","Arthropoda","Insecta","Coleoptera","Elateridae","Limoniscus","Limoniscus violaceus","Limoniscus violaceus","(P.W.J.Müller, 1821) ","4428477",
